"Checkout","Checkout"
"Back to cart · 1 item","Back to cart · 1 item"
"Back to cart · %1 items","Back to cart · %1 items"
"Returning customer? <a href=""%1"">Sign in</a> to use your saved details.","Returning customer? <a href=""%1"">Sign in</a> to use your saved details."
"Secure checkout","Secure checkout"
"Contact","Contact"
"Order confirmation only · no spam","Order confirmation only · no spam"
"Shipping Address","Shipping Address"
"Delivery Method","Delivery Method"
"Payment","Payment"
"Locked","Locked"
"Auto-saved","Auto-saved"
"Apt, suite, etc. · optional","Apt, suite, etc. · optional"
"Company · optional","Company · optional"
"Subtotal","Subtotal"
"Total","Total"
"Place Order","Place Order"
"Pay","Pay"
"Total includes tax and shipping","Total includes tax and shipping"
"Information","Information"
"Shipping method","Shipping method"
"Tell us where to send your order. We'll send your receipt to the email you provide.","Tell us where to send your order. We'll send your receipt to the email you provide."
"Choose how you'd like your order delivered.","Choose how you'd like your order delivered."
"All transactions are secure and encrypted. We never store your full card number.","All transactions are secure and encrypted. We never store your full card number."
"256-bit SSL encrypted","256-bit SSL encrypted"
"Free returns within 30 days","Free returns within 30 days"
"Buyer protection guarantee","Buyer protection guarantee"
"Auto-saved as you typed","Auto-saved as you typed"
"Encrypted & secure checkout","Encrypted & secure checkout"
"Complete your order using the payment button above.","Complete your order using the payment button above."
"Payment options will appear here","Payment options will appear here"
"Complete your","Complete your"
"shipping address","shipping address"
"and pick a","and pick a"
"delivery method","delivery method"
"above. Payment options load automatically once your shipping is saved · no Next button.","above. Payment options load automatically once your shipping is saved · no Next button."
"above. Payment options appear once your shipping is saved.","above. Payment options appear once your shipping is saved."
"Shipping address","Shipping address"
"Delivery method","Delivery method"
"in progress","in progress"
"Order notes (optional)","Order notes (optional)"
"Delivery notes, gift message, etc.","Delivery notes, gift message, etc."
"Email me news and exclusive offers","Email me news and exclusive offers"
"By placing your order, you agree to our terms of service and acknowledge our privacy policy. All shipping and payment details are saved automatically as you complete each section · no Next button.","By placing your order, you agree to our terms of service and acknowledge our privacy policy. All shipping and payment details are saved automatically as you complete each section · no Next button."
"By placing your order, you agree to our terms of service and acknowledge our privacy policy.","By placing your order, you agree to our terms of service and acknowledge our privacy policy."
"SSL encrypted checkout","SSL encrypted checkout"
"Your details auto-save as you type","Your details auto-save as you type"
"Safe & secure payment","Safe & secure payment"
"One Page (all sections visible, auto-save)","One Page (all sections visible, auto-save)"
"Multi-Step (native steps, restyled)","Multi-Step (native steps, restyled)"
"IWD One Page Checkout","IWD One Page Checkout"
"IWD","IWD"
"One Page Checkout","One Page Checkout"
"General","General"
"Enable One Page Checkout","Enable One Page Checkout"
"Layout Mode","Layout Mode"
"Auto-Save Shipping (no Next button)","Auto-Save Shipping (no Next button)"
"Relocatable Payment Methods","Relocatable Payment Methods"
"Features","Features"
"Order Comment Field","Order Comment Field"
"Newsletter Subscribe Checkbox","Newsletter Subscribe Checkbox"
"Create Account for Guests After Checkout","Create Account for Guests After Checkout"
"Design","Design"
"Primary Color (buttons & selected state)","Primary Color (buttons & selected state)"
"Accent Color (links)","Accent Color (links)"
"Text Color","Text Color"
"Border Color (hairlines & cards)","Border Color (hairlines & cards)"
"Order Summary Background","Order Summary Background"
"Font Family","Font Family"
"When disabled, the storefront checkout is byte-for-byte native Magento. This module is also automatically inert on stores running Hyvä Checkout.","When disabled, the storefront checkout is byte-for-byte native Magento. This module is also automatically inert on stores running Hyvä Checkout."
"One Page = all sections on one screen with auto-save. Multi-Step = native multi-step flow, restyled (progress bar and completed-step summary).","One Page = all sections on one screen with auto-save. Multi-Step = native multi-step flow, restyled (progress bar and completed-step summary)."
"Saves the shipping address and loads payment automatically once the address and a delivery method are complete - the native ""Next"" button is hidden. Each save is gated on Magento's own validators. Turn OFF on stores using extensions that add required shipping fields (e.g. ShipperHQ, freight) if auto-save fires before those fields are ready.","Saves the shipping address and loads payment automatically once the address and a delivery method are complete - the native ""Next"" button is hidden. Each save is gated on Magento's own validators. Turn OFF on stores using extensions that add required shipping fields (e.g. ShipperHQ, freight) if auto-save fires before those fields are ready."
"Comma-separated payment method codes whose Place Order action moves to the order-summary button. Any method NOT listed keeps its own native button, so SDK, express and 3-D Secure flows are never bypassed. Only add a method after verifying its checkout flow works from the summary button.","Comma-separated payment method codes whose Place Order action moves to the order-summary button. Any method NOT listed keeps its own native button, so SDK, express and 3-D Secure flows are never bypassed. Only add a method after verifying its checkout flow works from the summary button."
"Show an ""Order notes"" field in payment; saved to the order.","Show an ""Order notes"" field in payment; saved to the order."
"Show a newsletter opt-in checkbox; subscribes the email after the order is placed.","Show a newsletter opt-in checkbox; subscribes the email after the order is placed."
"Automatically create a customer account from a guest order after it is placed.","Automatically create a customer account from a guest order after it is placed."
"Optional colour overrides (hex, e.g. <code>#0f1115</code>). Leave blank to use the default Variant E palette.","Optional colour overrides (hex, e.g. <code>#0f1115</code>). Leave blank to use the default Variant E palette."
"Optional CSS font stack for the checkout, e.g. <code>Poppins, Helvetica, sans-serif</code>. The font itself must be available (theme or web-font). Leave blank to inherit the theme font.","Optional CSS font stack for the checkout, e.g. <code>Poppins, Helvetica, sans-serif</code>. The font itself must be available (theme or web-font). Leave blank to inherit the theme font."
"saved address","saved address"
"saved addresses","saved addresses"
"or pay with card","or pay with card"
"Welcome back, %1","Welcome back, %1"
"Welcome back","Welcome back"
"- your saved details are filled in below.","- your saved details are filled in below."
"Default","Default"
"Opens the address form","Opens the address form"
"Shipping to this address","Shipping to this address"
"Credit Card Number","Card Number"
"Card Verification Number","CVV"
"Save for later use","Save for later use"
"Visa, Mastercard, Amex, Discover · processed by Braintree","Visa, Mastercard, Amex, Discover · processed by Braintree"
"Card fields are encrypted - your card number never touches the store","Card fields are encrypted - your card number never touches the store"
"3-D Secure 2","3-D Secure 2"
"stored as a secure payment token","stored as a secure payment token"
"Express checkout","Express checkout"
"or continue below","or continue below"
"Order updates go to your account email","Order updates go to your account email"
"Encrypted & secure checkout","Encrypted & secure checkout"
"Auto-saved as you typed. By placing your order you agree to our %1 and %2.","Auto-saved as you typed. By placing your order you agree to our %1 and %2."
"By placing your order you agree to our %1 and %2.","By placing your order you agree to our %1 and %2."
"Complete your %1 and pick a %2 above. Payment options load automatically once your shipping is saved · no Next button.","Complete your %1 and pick a %2 above. Payment options load automatically once your shipping is saved · no Next button."
